hap_id	n_sequences	n_individuals	individuals	populations
H1	35	35	Hdianthus01,Hdianthus03,Hdianthus04,Hdianthus07,Hdianthus10,Hdianthus12,Hdianthus13,Hdianthus14,Hdianthus15,Hdianthus16,Hdianthus17,Hdianthus19,Hdianthus21,Hdianthus22,Hdianthus25,Hdianthus26,Hdianthus27,Hdianthus28,Hdianthus30,Hdianthus31,Hdianthus33,Hdianthus34,Hdianthus35,Hdianthus37,Hdianthus38,Hdianthus39,Hdianthus40,Hdianthus41,Hdianthus42,Hdianthus43,Hdianthus44,Hdianthus62,Hdianthus63,Hdianthus64,Hdianthus67	Brazil,Italy,Japan,Turkey
H2	13	13	Hdianthus47,Hdianthus48,Hdianthus49,Hdianthus50,Hdianthus51,Hdianthus52,Hdianthus53,Hdianthus54,Hdianthus56,Hdianthus57,Hdianthus58,Hdianthus59,Hdianthus60	USATX,Ukraine
H3	10	10	Hdianthus02,Hdianthus06,Hdianthus08,Hdianthus09,Hdianthus11,Hdianthus24,Hdianthus32,Hdianthus61,Hdianthus65,Hdianthus66	Brazil,Italy,Japan,Turkey
H4	1	1	Hdianthus55	USATX
H5	1	1	Hdianthus45	Ukraine
H6	1	1	Hdianthus23	Italy
H7	1	1	Hdianthus05	Italy
H8	1	1	Hdianthus18	Italy
H9	1	1	Hdianthus29	Italy
H10	1	1	Hdianthus20	Italy
H11	1	1	Hdianthus36	Turkey
H12	1	1	Hdianthus46	Ukraine
