hap_id	member_header
H1	Hdianthus01_Italy
H1	Hdianthus03_Italy
H1	Hdianthus04_Italy
H1	Hdianthus07_Japan
H1	Hdianthus10_Japan
H1	Hdianthus12_Japan
H1	Hdianthus13_Italy
H1	Hdianthus14_Italy
H1	Hdianthus15_Italy
H1	Hdianthus16_Italy
H1	Hdianthus17_Italy
H1	Hdianthus19_Italy
H1	Hdianthus21_Italy
H1	Hdianthus22_Italy
H1	Hdianthus25_Italy
H1	Hdianthus26_Italy
H1	Hdianthus27_Italy
H1	Hdianthus28_Italy
H1	Hdianthus30_Turkey
H1	Hdianthus31_Turkey
H1	Hdianthus33_Turkey
H1	Hdianthus34_Turkey
H1	Hdianthus35_Turkey
H1	Hdianthus37_Turkey
H1	Hdianthus38_Turkey
H1	Hdianthus39_Turkey
H1	Hdianthus40_Turkey
H1	Hdianthus41_Turkey
H1	Hdianthus42_Turkey
H1	Hdianthus43_Turkey
H1	Hdianthus44_Turkey
H1	Hdianthus62_Brazil
H1	Hdianthus63_Brazil
H1	Hdianthus64_Brazil
H1	Hdianthus67_Brazil
H2	Hdianthus47_Ukraine
H2	Hdianthus48_Ukraine
H2	Hdianthus49_Ukraine
H2	Hdianthus50_USATX
H2	Hdianthus51_USATX
H2	Hdianthus52_USATX
H2	Hdianthus53_USATX
H2	Hdianthus54_USATX
H2	Hdianthus56_USATX
H2	Hdianthus57_USATX
H2	Hdianthus58_USATX
H2	Hdianthus59_USATX
H2	Hdianthus60_USATX
H3	Hdianthus02_Italy
H3	Hdianthus06_Japan
H3	Hdianthus08_Japan
H3	Hdianthus09_Japan
H3	Hdianthus11_Japan
H3	Hdianthus24_Italy
H3	Hdianthus32_Turkey
H3	Hdianthus61_Brazil
H3	Hdianthus65_Brazil
H3	Hdianthus66_Brazil
H4	Hdianthus55_USATX
H5	Hdianthus45_Ukraine
H6	Hdianthus23_Italy
H7	Hdianthus05_Italy
H8	Hdianthus18_Italy
H9	Hdianthus29_Italy
H10	Hdianthus20_Italy
H11	Hdianthus36_Turkey
H12	Hdianthus46_Ukraine
