sequence_id	individual_id	allele	population
MAInd01_a_MA	MAInd01	a	MA
MAInd01_b_MA	MAInd01	b	MA
MAInd02_a_MA	MAInd02	a	MA
MAInd02_b_MA	MAInd02	b	MA
MAInd03_a_MA	MAInd03	a	MA
MAInd03_b_MA	MAInd03	b	MA
MAInd04_a_MA	MAInd04	a	MA
MAInd04_b_MA	MAInd04	b	MA
MAInd05_a_MA	MAInd05	a	MA
MAInd05_b_MA	MAInd05	b	MA
RIInd01_a_RI	RIInd01	a	RI
RIInd01_b_RI	RIInd01	b	RI
RIInd02_a_RI	RIInd02	a	RI
RIInd02_b_RI	RIInd02	b	RI
RIInd03_a_RI	RIInd03	a	RI
RIInd03_b_RI	RIInd03	b	RI
RIInd04_a_RI	RIInd04	a	RI
RIInd04_b_RI	RIInd04	b	RI
RIInd05_a_RI	RIInd05	a	RI
RIInd05_b_RI	RIInd05	b	RI
CTInd01_a_CT	CTInd01	a	CT
CTInd01_b_CT	CTInd01	b	CT
CTInd02_a_CT	CTInd02	a	CT
CTInd02_b_CT	CTInd02	b	CT
CTInd03_a_CT	CTInd03	a	CT
CTInd03_b_CT	CTInd03	b	CT
CTInd04_a_CT	CTInd04	a	CT
CTInd04_b_CT	CTInd04	b	CT
CTInd05_a_CT	CTInd05	a	CT
CTInd05_b_CT	CTInd05	b	CT
NYInd01_a_NY	NYInd01	a	NY
NYInd01_b_NY	NYInd01	b	NY
NYInd02_a_NY	NYInd02	a	NY
NYInd02_b_NY	NYInd02	b	NY
NYInd03_a_NY	NYInd03	a	NY
NYInd03_b_NY	NYInd03	b	NY
NYInd04_a_NY	NYInd04	a	NY
NYInd04_b_NY	NYInd04	b	NY
NYInd05_a_NY	NYInd05	a	NY
NYInd05_b_NY	NYInd05	b	NY
MEInd01_a_ME	MEInd01	a	ME
MEInd01_b_ME	MEInd01	b	ME
MEInd02_a_ME	MEInd02	a	ME
MEInd02_b_ME	MEInd02	b	ME
MEInd03_a_ME	MEInd03	a	ME
MEInd03_b_ME	MEInd03	b	ME
MEInd04_a_ME	MEInd04	a	ME
MEInd04_b_ME	MEInd04	b	ME
MEInd05_a_ME	MEInd05	a	ME
MEInd05_b_ME	MEInd05	b	ME
