sequence_id	individual_id	allele	population	true_haplotype
MAInd01_a_MA	MAInd01	a	MA	H1
MAInd01_b_MA	MAInd01	b	MA	H1
MAInd02_a_MA	MAInd02	a	MA	H1
MAInd02_b_MA	MAInd02	b	MA	H2
MAInd03_a_MA	MAInd03	a	MA	H2
MAInd03_b_MA	MAInd03	b	MA	H3
MAInd04_a_MA	MAInd04	a	MA	H1
MAInd04_b_MA	MAInd04	b	MA	H3
MAInd05_a_MA	MAInd05	a	MA	H3
MAInd05_b_MA	MAInd05	b	MA	H3
RIInd01_a_RI	RIInd01	a	RI	H1
RIInd01_b_RI	RIInd01	b	RI	H2
RIInd02_a_RI	RIInd02	a	RI	H2
RIInd02_b_RI	RIInd02	b	RI	H2
RIInd03_a_RI	RIInd03	a	RI	H1
RIInd03_b_RI	RIInd03	b	RI	H4
RIInd04_a_RI	RIInd04	a	RI	H4
RIInd04_b_RI	RIInd04	b	RI	H4
RIInd05_a_RI	RIInd05	a	RI	H2
RIInd05_b_RI	RIInd05	b	RI	H4
CTInd01_a_CT	CTInd01	a	CT	H1
CTInd01_b_CT	CTInd01	b	CT	H5
CTInd02_a_CT	CTInd02	a	CT	H5
CTInd02_b_CT	CTInd02	b	CT	H5
CTInd03_a_CT	CTInd03	a	CT	H2
CTInd03_b_CT	CTInd03	b	CT	H5
CTInd04_a_CT	CTInd04	a	CT	H1
CTInd04_b_CT	CTInd04	b	CT	H1
CTInd05_a_CT	CTInd05	a	CT	H5
CTInd05_b_CT	CTInd05	b	CT	H6
NYInd01_a_NY	NYInd01	a	NY	H1
NYInd01_b_NY	NYInd01	b	NY	H6
NYInd02_a_NY	NYInd02	a	NY	H6
NYInd02_b_NY	NYInd02	b	NY	H6
NYInd03_a_NY	NYInd03	a	NY	H2
NYInd03_b_NY	NYInd03	b	NY	H6
NYInd04_a_NY	NYInd04	a	NY	H1
NYInd04_b_NY	NYInd04	b	NY	H7
NYInd05_a_NY	NYInd05	a	NY	H7
NYInd05_b_NY	NYInd05	b	NY	H7
MEInd01_a_ME	MEInd01	a	ME	H1
MEInd01_b_ME	MEInd01	b	ME	H8
MEInd02_a_ME	MEInd02	a	ME	H2
MEInd02_b_ME	MEInd02	b	ME	H8
MEInd03_a_ME	MEInd03	a	ME	H8
MEInd03_b_ME	MEInd03	b	ME	H8
MEInd04_a_ME	MEInd04	a	ME	H1
MEInd04_b_ME	MEInd04	b	ME	H7
MEInd05_a_ME	MEInd05	a	ME	H2
MEInd05_b_ME	MEInd05	b	ME	H7
