hap_id	member_header
H1	CTInd01_a_CT
H1	CTInd04_a_CT
H1	CTInd04_b_CT
H1	MAInd01_a_MA
H1	MAInd01_b_MA
H1	MAInd02_a_MA
H1	MAInd04_a_MA
H1	MEInd01_a_ME
H1	MEInd04_a_ME
H1	NYInd01_a_NY
H1	NYInd04_a_NY
H1	RIInd01_a_RI
H1	RIInd03_a_RI
H2	CTInd03_a_CT
H2	MAInd02_b_MA
H2	MAInd03_a_MA
H2	MEInd02_a_ME
H2	MEInd05_a_ME
H2	NYInd03_a_NY
H2	RIInd01_b_RI
H2	RIInd02_a_RI
H2	RIInd02_b_RI
H2	RIInd05_a_RI
H3	CTInd05_b_CT
H3	NYInd01_b_NY
H3	NYInd02_a_NY
H3	NYInd02_b_NY
H3	NYInd03_b_NY
H4	CTInd01_b_CT
H4	CTInd02_a_CT
H4	CTInd02_b_CT
H4	CTInd03_b_CT
H4	CTInd05_a_CT
H5	MEInd04_b_ME
H5	MEInd05_b_ME
H5	NYInd04_b_NY
H5	NYInd05_a_NY
H5	NYInd05_b_NY
H6	MAInd03_b_MA
H6	MAInd04_b_MA
H6	MAInd05_a_MA
H6	MAInd05_b_MA
H7	MEInd01_b_ME
H7	MEInd02_b_ME
H7	MEInd03_a_ME
H7	MEInd03_b_ME
H8	RIInd03_b_RI
H8	RIInd04_a_RI
H8	RIInd04_b_RI
H8	RIInd05_b_RI
